X,Y,Z
-3515707.90636262,2781727.38314517,4521574.47333897
-3515747.56248002,2779989.07606483,4522605.66426225
-3516687.42523706,2779579.67682377,4522129.75970463
-3517500.97882861,2779589.61424334,4521495.14101785
-3518293.55384145,2779948.04657328,4520663.65346807
-3519138.6289662,2780567.06118153,4519632.01197753
-3520020.91812386,2780728.23746878,4518850.97973586
-3520629.8650462,2779983.20106928,4518835.10363759
-3521336.65689902,2778219.71271703,4519365.33348985
-3523334.27964681,2775170.63921798,4519679.63149924
-3525113.69015907,2771675.14315534,4520431.95179961
-3525667.08423156,2768692.18639525,4521818.80789446
-3526022.75906413,2767894.7951948,4522028.22683299
-3526034.9474736,2767216.41051881,4522431.17183385
-3525377.36930293,2766514.25138631,4523367.00545373
-3524525.24752083,2765845.55501506,4524432.66379668
-3523961.79588451,2765257.81630773,4525225.39829183
-3523665.80676677,2763513.67138924,4526512.49713685
-3523943.16023541,2761193.74057492,4527704.15672352
-3524889.72038593,2759399.06031517,4528059.05718872
-3526269.53580225,2758944.74452827,4527266.82957695
-3528931.84883309,2759331.20099868,4524971.73869548
-3530181.01205692,2759314.27619113,4524014.0428048
-3531181.76646268,2758682.81505678,4523620.75681544
-3532432.33518487,2758076.56571734,4523018.07356918
-3537655.12803841,2758290.47234775,4518831.92842675
-3541430.81592662,2757273.39176428,4516510.23772404
-3548485.88782292,2754163.00504752,4512893.4893518
-3551962.53266374,2753079.94035875,4510832.73187639
-3584780.54337381,2746792.59589047,4488798.75290392
-3595520.19972202,2747564.23723159,4479788.5241256
-3597563.89079911,2747491.3900269,4478202.85484518
-3600306.70004117,2746106.32016109,4476857.00745423
-3606389.22528009,2745935.98772728,4472095.30459739
-3625546.10577135,2741234.88103382,4459556.66291677
-3627882.31000408,2739787.47822368,4458552.87264187
-3632878.27592716,2739414.05848364,4454738.41949011
-3637773.7532536,2737007.49188497,4452238.8182275
-3645002.52616718,2734913.43962442,4447641.9784837
-3652198.97939012,2731752.75556658,4443705.60280815
-3653471.8878731,2730674.20522953,4443324.69560196
-3654608.49984168,2729946.38739538,4442840.44691954
-3658292.9611223,2728936.11916347,4440444.29365635
-3659880.13613423,2728300.05659477,4439533.30506752
-3662444.26377535,2725916.67351691,4438887.106725
-3663324.91461833,2725448.39675533,4438450.87258933
-3665987.26191583,2725730.7982769,4436094.50831473
-3666337.8166117,2725926.7524294,4435687.11580545
-3669091.80022599,2725256.3151321,4433834.00507342
-3669852.20008858,2724947.68668526,4433397.30209212
-3680890.73385824,2718507.85629715,4428231.43760716
-3695453.35561944,2706979.2122466,4423196.08934276
-3695885.53223843,2707295.78859355,4422644.92223698
-3691573.06027532,2712193.96000338,4423241.47677008
-3691335.16403694,2713496.83270315,4422644.92223698
-3691955.98781224,2713492.80855543,4422132.60356272
-3694216.1561957,2712778.74207044,4420692.62746037
-3694888.20424816,2712714.90530572,4420173.61014836
-3697898.45266077,2713567.19257349,4417152.45444572
-3698098.48258918,2712703.97924072,4417512.75740449
-3698104.53128532,2712312.56804938,4417746.45279668
-3699467.97145506,2711858.23538261,4416889.51352605
-3700465.96991348,2711337.57188911,4416376.574554
-3701298.07376434,2710606.29742678,4416129.82476524
-3708322.81428227,2701212.3878683,4415993.45759382
-3708860.297195,2700805.7452682,4415792.14653751
-3708716.29284916,2697896.64946811,4417678.29282851
-3708905.96782517,2696335.25635376,4418466.94150874
-3709404.30736402,2695119.43186447,4418788.20543376
-3715354.95495229,2687560.23381459,4418395.54661595
-3717678.4147831,2685904.34263886,4417454.33174475
-3719256.06733726,2685203.42103521,4416558.38202282
-3719455.08792638,2685363.1818592,4416295.40832048
-3718982.44120173,2686291.78097513,4416129.82476524
-3718603.14225807,2687826.64805865,4415519.38889767
-3718770.95659077,2689291.10884912,4414493.16097549
-3720810.8534966,2692875.61824976,4410613.58608644
-3723035.39343191,2691231.57700728,4409745.61208805
-3723769.15993711,2690328.86153207,4409677.33780888
-3724087.50846612,2689158.32600134,4410119.47786195
-3723967.37796596,2688025.56370508,4410906.12607903
-3723547.27023513,2686620.40830423,4412108.60268596
-3722902.39132679,2685278.78147766,4413460.21512875
-3722113.65322688,2684356.25687846,4414678.28803014
-3720945.75149022,2682140.41954804,4416993.39314145
-3721762.92720418,2679983.1839047,4417610.13188482
-3723437.217372,2679165.56304553,4416701.22590577
-3724865.57612104,2680940.16661491,4414434.69829986
-3727331.81330387,2681485.80773347,4412037.11247863
-3728591.27739322,2681403.47490226,4411029.63760947
-3729637.59653411,2680637.21927854,4410613.58608644
-3730504.32624654,2680416.50012249,4410018.69954708
-3733333.52053069,2680833.56422349,4407387.95994148
-3734227.98981966,2680567.58191144,4406795.92579198
-3734858.51020004,2680152.14816421,4406516.14796149
-3738352.48002542,2678430.51583554,4404612.57510259
-3739450.07032259,2677641.80978426,4404163.41714475
-3741609.18843979,2675724.44641952,4403499.36756371
-3749248.01479832,2667375.68211674,4402076.5603304
-3757793.64415673,2656681.42529695,4401262.40812289
-3759548.85769519,2653239.8893063,4401835.5856845
-3760257.89867209,2649502.0167912,4403470.06913936
-3759827.41111066,2637787.0616311,4410815.11553794
-3759116.62700613,2628518.08530896,4416908.99108158
-3758888.82330992,2627261.9374927,4417843.82249887
-3760079.05189547,2621183.58752347,4420423.3942886
-3759955.93057204,2616481.83015596,4423293.34748157
-3760472.51619049,2615065.9065374,4423688.84343863
-3760580.04142796,2613508.5879392,4424512.14726578
-3758590.99444743,2607402.59652611,4429766.25054915
-3758657.88124026,2603615.54434561,4431921.91761747
-3758453.3256679,2601530.9626833,4433309.9567197
-3757569.34764648,2600082.3975232,4434898.09672289
-3757420.53084425,2599553.26699119,4435331.42687277
-3757563.28213744,2598752.48149396,4435677.41557855
-3758030.39844334,2598160.30606774,4435628.91398525
-3759639.72897182,2598499.55145139,4434076.60024942
-3761920.35315592,2598354.92287792,4432239.03479023
-3762866.82502961,2598440.29928804,4431391.18403422
-3765585.11251604,2600435.89270033,4427933.48373949
-3766956.33121739,2603516.93757135,4424975.59793229
-3767895.45253236,2609935.19743144,4420423.3942886
-3768683.44305339,2611590.13716124,4418784.96046089
